Episode:0, eps_reward:1.0, max_hit_reward:1.0, agent.max_reward: 0, epsilon: 0.7865334084168147
Episode:46, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:47, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:48, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:49, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:50, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:51, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:52, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:53, eps_reward:2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:54, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:55, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:56, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:57, eps_reward:4.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:58, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:59, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:60, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:61, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:62, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:63, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:64, eps_reward:2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:65, eps_reward:2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:66, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:67, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:68, eps_reward:2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:69, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:70, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:71, eps_reward:4.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:72, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:73, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:74, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:75, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:76, eps_reward:2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:77, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:78, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:79, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:80, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:81, eps_reward:2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:82, eps_reward:3.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:83, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:84, eps_reward:2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:85, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:86, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:87, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:88, eps_reward:2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:89, eps_reward:2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:90, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:91, eps_reward:2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:92, eps_reward:3.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:93, eps_reward:3.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:94, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:95, eps_reward:4.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:96, eps_reward:3.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:97, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:98, eps_reward:2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:99, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:100, eps_reward:1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:101, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:102, eps_reward:0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:103, eps_reward:2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:104, eps_reward:2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:105, eps_reward:4.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.1
Episode:106, eps_reward:6.0, max_hit_reward:6.0, agent.max_reward: 5.0, epsilon: 0.1
Model saved!
Episode:107, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:108, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:109, eps_reward:4.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:110, eps_reward:4.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:111, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:112, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:113, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:114, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:115, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:116, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:117, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:118, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:119, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:120, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:121, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:122, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:123, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:124, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:125, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:126, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:127, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:128, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:129, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:130, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:131, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:132, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:133, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:134, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:135, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:136, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:137, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:138, eps_reward:4.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:139, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:140, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:141, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:142, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:143, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:144, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
