Episode:0, eps_reward: 0.0, max_hit_reward:0.0, agent.max_reward: 0, epsilon: 1.0
Episode:1, eps_reward: 1.0, max_hit_reward:1.0, agent.max_reward: 0, epsilon: 0.999
Model saved!
Episode:2, eps_reward: 2.0, max_hit_reward:2.0, agent.max_reward: 1.0, epsilon: 0.998001
Model saved!
Episode:3, eps_reward: 1.0, max_hit_reward:2.0, agent.max_reward: 2.0, epsilon: 0.997002999
Episode:4, eps_reward: 1.0, max_hit_reward:2.0, agent.max_reward: 2.0, epsilon: 0.996005996001
Episode:5, eps_reward: 1.0, max_hit_reward:2.0, agent.max_reward: 2.0, epsilon: 0.995009990004999
Episode:6, eps_reward: 1.0, max_hit_reward:2.0, agent.max_reward: 2.0, epsilon: 0.994014980014994
Episode:7, eps_reward: 3.0, max_hit_reward:3.0, agent.max_reward: 2.0, epsilon: 0.993020965034979
Model saved!
Episode:8, eps_reward: 1.0, max_hit_reward:3.0, agent.max_reward: 3.0, epsilon: 0.9920279440699441
Episode:9, eps_reward: 1.0, max_hit_reward:3.0, agent.max_reward: 3.0, epsilon: 0.9910359161258742
Episode:10, eps_reward: 0.0, max_hit_reward:3.0, agent.max_reward: 3.0, epsilon: 0.9900448802097482
Episode:11, eps_reward: 0.0, max_hit_reward:3.0, agent.max_reward: 3.0, epsilon: 0.9890548353295385
Episode:12, eps_reward: 1.0, max_hit_reward:3.0, agent.max_reward: 3.0, epsilon: 0.988065780494209
Episode:13, eps_reward: 5.0, max_hit_reward:5.0, agent.max_reward: 3.0, epsilon: 0.9870777147137147
Model saved!
Episode:14, eps_reward: 2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.986090636999001
Episode:15, eps_reward: 0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9851045463620021
Episode:16, eps_reward: 2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.98411944181564
Episode:17, eps_reward: 1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9831353223738244
Episode:18, eps_reward: 0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9821521870514506
Episode:19, eps_reward: 2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9811700348643991
Episode:20, eps_reward: 2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9801888648295347
Episode:21, eps_reward: 3.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9792086759647052
Episode:22, eps_reward: 2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9782294672887405
Episode:23, eps_reward: 0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9772512378214517
Episode:24, eps_reward: 1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9762739865836303
Episode:25, eps_reward: 1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9752977125970467
Episode:26, eps_reward: 2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9743224148844496
Episode:27, eps_reward: 1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9733480924695651
Episode:28, eps_reward: 4.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9723747443770956
Episode:29, eps_reward: 0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9714023696327185
Episode:30, eps_reward: 2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9704309672630859
Episode:31, eps_reward: 1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9694605362958227
Episode:32, eps_reward: 1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9684910757595269
Episode:33, eps_reward: 1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9675225846837673
Episode:34, eps_reward: 0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9665550620990835
Episode:35, eps_reward: 0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9655885070369844
Episode:36, eps_reward: 2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9646229185299474
Episode:37, eps_reward: 2.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9636582956114175
Episode:38, eps_reward: 0.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9626946373158061
Episode:39, eps_reward: 1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9617319426784903
Episode:40, eps_reward: 3.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9607702107358118
Episode:41, eps_reward: 3.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.959809440525076
Episode:42, eps_reward: 1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9588496310845509
Episode:43, eps_reward: 1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9578907814534664
Episode:44, eps_reward: 1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9569328906720129
Episode:45, eps_reward: 1.0, max_hit_reward:5.0, agent.max_reward: 5.0, epsilon: 0.9559759577813409
