Episode:201, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:202, eps_reward:4.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:203, eps_reward:3.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:204, eps_reward:4.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:205, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:206, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:207, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:208, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:209, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:210, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:211, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:212, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:213, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:214, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:215, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:216, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:217, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:218, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:219, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:220, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:221, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:222, eps_reward:6.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:223, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:224, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:225, eps_reward:5.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:226, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:227, eps_reward:4.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:228, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:229, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:230, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:231, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:232, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:233, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:234, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:235, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:236, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:237, eps_reward:5.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:238, eps_reward:3.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:239, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:240, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
